"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.31437227167513,0.596,0.186,0,"0","RSPO3"
0,2.08723307950262,0.637,0.231,0,"0","CFB"
0,1.53661519876877,0.821,0.419,0,"0","DMD"
0,1.67750190079432,0.664,0.267,0,"0","MAMDC2"
0,1.36658321991635,0.86,0.467,0,"0","IFI44L"
0,2.12126072722775,0.583,0.193,0,"0","CYP1B1-AS1"
0,1.68960026555055,0.747,0.362,0,"0","IFIT3"
0,1.83211297864458,0.618,0.238,0,"0","WNT2B"
0,1.65342310054024,0.659,0.279,0,"0","OAS1"
0,1.83771410994886,0.847,0.475,0,"0","BAMBI"
0,1.42549618984065,0.703,0.331,0,"0","PSMB9"
0,1.47575136135945,0.86,0.495,0,"0","IFIT1"
0,1.5491612737344,0.618,0.262,0,"0","DDX58"
0,1.37782610228901,0.741,0.387,0,"0","NOS1AP"
0,1.39335842414512,0.756,0.403,0,"0","STAT1"
0,1.40495201364389,0.738,0.386,0,"0","MX1"
0,1.3143926507374,0.801,0.452,0,"0","CFI"
0,1.35929637613507,0.698,0.349,0,"0","EMX2"
0,1.5975596287887,0.696,0.35,0,"0","CTNNA2"
0,1.64847482638709,0.69,0.345,0,"0","IGFBP3"
0,1.23515982401036,0.788,0.444,0,"0","PLSCR1"
0,1.16432572596638,0.807,0.464,0,"0","RSPO2"
0,2.06334543738763,0.49,0.149,0,"0","PAPPA2"
0,1.17094609740436,0.603,0.263,0,"0","TTYH1"
0,1.49815021718827,0.642,0.306,0,"0","HERC5"
0,1.44517996780225,0.612,0.283,0,"0","PARP14"
0,1.29822018555033,0.702,0.373,0,"0","HES4"
0,1.61189213867071,0.595,0.267,0,"0","DSEL"
0,1.42052416152164,0.778,0.456,0,"0","CEBPD"
0,1.76402779336408,0.525,0.204,0,"0","SAMD9"
0,1.16246672894205,0.786,0.466,0,"0","PRTG"
0,1.20288339342839,0.929,0.61,0,"0","PDE10A"
0,1.42520428603844,0.624,0.305,0,"0","COL9A2"
0,1.07510752822217,0.554,0.236,0,"0","C1orf61"
0,1.44098984964018,0.556,0.239,0,"0","UST"
0,1.58902753395589,0.899,0.582,0,"0","PLS3"
0,1.38292292430042,0.71,0.395,0,"0","HLA-E"
0,1.15628360525483,0.845,0.53,0,"0","RMST"
0,1.39274876902663,0.568,0.254,0,"0","IGFBP4"
0,2.48770756025978,0.427,0.114,0,"0","ADAMTS1"
0,1.76743018646872,0.484,0.173,0,"0","DGKB"
0,1.6238037880866,0.472,0.165,0,"0","XAF1"
0,1.53625883963732,0.502,0.2,0,"0","LRRC4C"
0,1.10977046372267,0.971,0.671,0,"0","BST2"
0,1.13197064032423,0.754,0.456,0,"0","TCF4"
0,1.13632375690465,0.703,0.405,0,"0","SOX5"
0,1.68988753831847,0.504,0.207,0,"0","IQGAP2"
0,1.11748576985205,0.861,0.564,0,"0","NPAS3"
0,1.23868667242512,0.566,0.273,0,"0","SP100"
0,1.54795632868078,0.492,0.201,0,"0","APCDD1"
0,1.34050502664742,0.638,0.349,0,"0","HES1"
0,1.46808431852406,0.508,0.22,0,"0","IFI16"
0,1.0610014239545,0.776,0.488,0,"0","EIF2AK2"
0,1.31622377013378,0.759,0.473,0,"0","BTG1"
0,1.27360752452363,0.582,0.297,0,"0","RNF213"
0,1.20756552277801,0.571,0.287,0,"0","SV2C"
0,1.06327241665699,0.73,0.446,0,"0","PDE3A"
0,1.01145763651491,0.736,0.453,0,"0","AL137139.2"
0,1.16347946401788,0.674,0.394,0,"0","PRKG1"
0,2.10685592977332,0.38,0.101,0,"0","LIX1"
0,1.39061080364995,0.546,0.269,0,"0","PLAAT4"
0,1.25079022042046,0.961,0.685,0,"0","IFITM1"
0,1.32893463948485,0.509,0.236,0,"0","IFI35"
0,0.981583878284094,0.761,0.489,0,"0","ADGRL3"
0,1.53876009765445,0.443,0.172,0,"0","SH3RF1"
0,1.51780295538841,0.401,0.13,0,"0","MAMDC2-AS1"
0,1.21056987502722,0.899,0.628,0,"0","MDK"
0,0.77510136988842,0.887,0.618,0,"0","ECEL1"
0,1.3704401967043,0.505,0.236,0,"0","STON2"
0,1.26482800237745,0.899,0.631,0,"0","WIF1"
0,1.06512895597552,0.607,0.34,0,"0","PSMB8"
0,1.40363408487517,0.537,0.272,0,"0","ARL4D"
0,1.11749765296291,0.663,0.4,0,"0","NTRK2"
0,0.969772063691254,0.89,0.629,0,"0","LY6E"
0,1.19347986188061,0.573,0.314,0,"0","TFPI2"
0,0.966952038927924,0.718,0.46,0,"0","SLCO1C1"
0,0.882683882546773,0.667,0.41,0,"0","SAMD5"
0,0.707641901066738,0.618,0.361,0,"0","MAP2"
0,1.34493934358967,0.639,0.382,0,"0","ADGRV1"
0,1.4012450160326,0.975,0.718,0,"0","HLA-C"
0,0.984942903950635,0.594,0.337,0,"0","DPP10"
0,1.77039224730883,0.479,0.223,0,"0","PRSS56"
0,1.6916381529705,0.4,0.145,0,"0","EPSTI1"
0,1.90035945567871,0.361,0.109,0,"0","ABCA8"
0,1.42229790720863,0.478,0.227,0,"0","C1S"
0,1.10446721640114,0.933,0.682,0,"0","MIR99AHG"
0,0.640072538354219,0.862,0.612,0,"0","HDAC9"
0,1.75411042202964,0.418,0.171,0,"0","RSAD2"
0,1.23538247125949,0.537,0.292,0,"0","CDC42EP3"
0,1.05381983656053,0.717,0.473,0,"0","COL18A1"
0,1.08813043091483,0.936,0.695,0,"0","HLA-A"
0,0.850709442053325,0.893,0.652,0,"0","NR2F1"
0,1.43660989737579,0.811,0.571,0,"0","CRYAB"
0,1.08972748254342,0.63,0.39,0,"0","C1R"
0,1.17743728182228,0.566,0.326,0,"0","LAP3"
0,1.01486293946787,0.687,0.448,0,"0","GALNT10"
0,0.869346346380074,0.837,0.598,0,"0","IFITM2"
0,1.45917732892325,0.408,0.17,0,"0","DTX3L"
0,1.0905872988969,0.517,0.281,0,"0","PLEKHG4B"
0,0.976418428063482,0.628,0.393,0,"0","PALMD"
0,0.861222432295495,0.844,0.609,0,"0","KRT18"
0,1.53901816241475,0.371,0.138,0,"0","HERC6"
0,0.797447146732149,0.828,0.596,0,"0","NRG3"
0,1.07066936650098,0.842,0.611,0,"0","MT2A"
0,1.42502953230215,0.365,0.135,0,"0","AC092691.1"
0,0.854027808585958,0.742,0.512,0,"0","PSME1"
0,0.922034184135042,0.723,0.493,0,"0","ZNF521"
0,1.134229423514,0.51,0.281,0,"0","PRKCA"
0,0.889833740465638,0.528,0.3,0,"0","TSC22D4"
0,0.8941346707319,0.702,0.475,0,"0","ZBTB20"
0,1.2921145262202,0.407,0.181,0,"0","PARP9"
0,0.654209896323324,0.529,0.304,0,"0","GNG11"
0,1.68303800732826,0.36,0.135,0,"0","DDX60L"
0,0.929670064693402,0.761,0.537,0,"0","CDH2"
0,1.00734242967455,0.476,0.253,0,"0","IFI44"
0,1.01091796796931,0.627,0.404,0,"0","SCARB2"
