"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-10.8126278978298,0.001,0.762,0,"S100A6","0","Down in KO"
0,-5.15793318748934,0.042,0.753,0,"ECRG4","0","Down in KO"
0,3.85282613342226,0.967,0.269,0,"BST2","0","Up in KO"
0,-5.74953156207477,0.027,0.609,0,"LINC02609","0","Down in KO"
0,-3.31167311191603,0.098,0.658,0,"ZIC1","0","Down in KO"
0,-6.96855638275401,0.005,0.565,0,"AC092957.1","0","Down in KO"
0,3.74390611094687,0.999,0.486,0,"IFI27","0","Up in KO"
0,-6.29195684881509,0.007,0.502,0,"CLEC11A","0","Down in KO"
0,2.55821585875421,0.93,0.442,0,"IFITM1","0","Up in KO"
0,-4.24158295404187,0.027,0.498,0,"EMC10","0","Down in KO"
0,2.63646215011607,0.934,0.488,0,"ISG15","0","Up in KO"
0,-4.5211638443069,0.019,0.443,0,"ZIC4","0","Down in KO"
0,-3.25565827658151,0.071,0.492,0,"COL1A2","0","Down in KO"
0,-3.22993633131446,0.062,0.454,0,"AC004540.2","0","Down in KO"
0,-4.61253251876238,0.011,0.342,0,"JOSD2","0","Down in KO"
0,-5.95730388619536,0.005,0.332,0,"C19orf81","0","Down in KO"
0,2.4446664118901,0.946,0.625,0,"HLA-C","0","Up in KO"
0,-11.7053996152441,0,0.298,0,"TUSC1","0","Down in KO"
0,-11.4494000305179,0,0.262,0,"ECHDC3","0","Down in KO"
0,2.24400639950645,0.977,0.745,0,"HLA-B","0","Up in KO"
0,-7.43983490495184,0.001,0.213,0,"AC092958.1","0","Down in KO"
0,1.67061106956449,0.999,0.91,0,"IFI6","0","Up in KO"
0,1.87621417773438,1,0.988,0,"B2M","0","Up in KO"
2.89170567950937e-290,1.28670446917574,0.998,0.943,8.70721497157066e-286,"IFITM3","0","Up in KO"
1.21354202721821e-285,-2.16442905980478,0.083,0.498,3.65409639815674e-281,"NOVA1","0","Down in KO"
3.61122206630782e-280,-4.10459737016384,0.015,0.254,1.08737507638595e-275,"EPHA3","0","Down in KO"
3.36438218955468e-273,-5.30653352713588,0.004,0.186,1.01304912109681e-268,"LRRC4B","0","Down in KO"
3.63625783019118e-267,-8.14065932754654,0.002,0.164,1.09491359524887e-262,"CHCHD2","0","Down in KO"
1.36450556048413e-266,-3.15656247768871,0.034,0.325,4.10866269317376e-262,"JAM2","0","Down in KO"
1.29161814755051e-257,3.71386994666135,0.715,0.128,3.88919140408934e-253,"IFI44L","0","Up in KO"
4.995866416424e-253,-4.04301373884762,0.018,0.251,1.50430533664943e-248,"STRIP2","0","Down in KO"
6.14071948655795e-250,2.17552623486522,0.849,0.53,1.84903204459746e-245,"LY6E","0","Up in KO"
6.83581659740192e-250,0.654763822033303,1,0.996,2.05833273564369e-245,"RPL28","0","Up in KO"
7.57596935633162e-247,-5.22439322484608,0.003,0.164,2.28120013288502e-242,"IQCA1","0","Down in KO"
